Emp ID,Employee,Spy,Department,"Hiring Date, Salary & Bonus",Bonus,Current Status,City Emp ID,Extra columns,"mail.id, city, pin no & land no, Employment type, marital status, age, designation, gender "
EMP-834-C,MICHEAL ,Sp  ,hr,18-11-2023  10000   500 ,300,Terminated  ,New York  EMP-658-B ,Unnecessary,micheal@gmail.com          new york    PARIS     967958  WID-779   Intern        Married   22   Specialist          Male
EMP-345-B,Wanda   ,An  ,sales,20-11-2024  7000    500 ,500,Inactive    ,Tokyo     EMP-215-B ,RemoveMe,wanda@gmail.com            tokyo       NY        330954  WID-802   Hybrid        Single    49   Analyst             Female
EMP-183-A,laura   ,Ex  ,sales,15-09-2014  12000   300 ,300,Inactive    ,New York  EMP-311-C ,,laura@gmail.com            new york    PARIS     757343  WID-191   Part-Time     Married   30   Executive           Female
EMP-498-C,tyler   ,Sp  ,hr,16-08-2020  12000   300 ,,Terminated  ,Tokyo     EMP-382-B ,,tyler@gmail.com            tokyo       NY        933966  WID-295   Full-Time     Married   35   Specialist          Male
EMP-956-C,erika   ,Ma  ,it,25-02-2021  10000   500 ,300,Terminated  ,Mumbai    EMP-797-A ,,erika@gmail.com            mumbai      NY        167755  WID-635   Contract      Single    31   Manager             Female
EMP-322-C,michael ,Ex  ,finance,14-12-2021  10000       ,300,Terminated  ,Tokyo     EMP-154-B ,,michael@gmail.com          tokyo       DELHI     100672  WID-413   Full-Time     Married   48   Executive           Male
EMP-437-C,TAMMY   ,Sp  ,sales,18-07-2023  10000       ,500,Inactive    ,Tokyo     EMP-188-C ,RemoveMe,tammy@gmail.com            tokyo       MAH       404928  WID-377   Part-Time     Single    24   Specialist          Female
EMP-262-B,michael ,Ex  ,hr,26-01-2016  7000        ,500,Inactive    ,New York  EMP-508-A ,,michael@gmail.com          new york    NY        811902  WID-367   Contract      Married   35   Executive           Male
EMP-562-A,Christopher,Sp  ,it,19-05-2023  12000       ,300,On Leave    ,New York  EMP-304-B ,,christopher@gmail.com      new york    TOKYO     672344  WID-412   Full-Time     Married   36   Specialist          Male
EMP-614-A,stacey  ,Ex  ,it,30-10-2015  10000   500 ,300,Inactive    ,New York  EMP-615-C ,,stacey@gmail.com           new york    PARIS     540932  WID-829   Contract      Married   36   Executive           Female
EMP-977-A,VANESSA ,Ma  ,LOGISTICS,03-10-2021  7000        ,,Terminated  ,Delhi     EMP-729-B ,###,vanessa@gmail.com          delhi       MAH       693047  WID-905   Part-Time     Married   39   Manager             Female
EMP-627-A,john    ,De  ,sales,14-02-2016  7000    500 ,300,Inactive    ,Delhi     EMP-926-C ,,john@gmail.com             delhi       NY        781448  WID-571   Full-Time     Single    48   Developer           Male
EMP-784-A,Alicia  ,Sp  ,sales,16-05-2020  12000   300 ,500,Inactive    ,New York  EMP-985-A ,,alicia@gmail.com           new york    PARIS     251154  WID-224   On Home       Single    38   Specialist          Female
EMP-693-C,JERRY   ,Sp  ,hr,11-02-2019  7000    300 ,300,Inactive    ,Paris     EMP-924-B ,RemoveMe,jerry@gmail.com            paris       DELHI     260455  WID-738   On Home       Single    22   Specialist          Male
EMP-607-C,MARTIN  ,Ma  ,SALES,17-05-2014  10000   500 ,N/A,Terminated  ,Delhi     EMP-554-B ,RemoveMe,martin@gmail.com           delhi       TOKYO     960116  WID-156   Full-Time     Married   27   Manager             Male
EMP-114-A,Kathy   ,An  ,sales,29-05-2022  7000        ,N/A,On Leave    ,New York  EMP-751-A ,,kathy@gmail.com            new york    MAH       833613  WID-289   Part-Time     Single    45   Analyst             Female
EMP-667-C,virginia,Sp  ,sales,18-05-2014  10000       ,N/A,Inactive    ,Delhi     EMP-604-B ,Unnecessary,virginia@gmail.com         delhi       TOKYO     212549  WID-783   Contract      Married   47   Specialist          Female
EMP-301-B,alisha  ,Ma  ,finance,01-05-2023  7000        ,1000$,Terminated  ,New York  EMP-677-B ,,alisha@gmail.com           new york    DELHI     789115  WID-111   Hybrid        Married   42   Manager             Female
EMP-306-B,steven  ,De  ,it,04-09-2015  10000       ,300,Inactive    ,New York  EMP-109-A ,,steven@gmail.com           new york    PARIS     509599  WID-466   Hybrid        Single    38   Developer           Male
EMP-456-B,David   ,Sp  ,sales,16-09-2017  12000   500 ,300,Inactive    ,Tokyo     EMP-570-C ,RemoveMe,david@gmail.com            tokyo       PARIS     171523  WID-979   Part-Time     Married   34   Specialist          Male
